,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Mrg Ebitd
345,BEES3,5.43,7.48,1.08,0.0,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1449,175572.0,1583940000.0,0.0,0.0935,0.0
346,SANB3,13.57,7.73,1.37,0.0,0.0984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1766,2535200.0,74512200000.0,0.0,-0.0913,0.0
347,CRIV3,5.27,7.75,0.56,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0722,33588.6,969432000.0,0.0,-0.0302,0.0
348,BEES4,5.74,7.9,1.14,0.0,0.0467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1449,23466.8,1583940000.0,0.0,0.0935,0.0
349,SANB11,28.4,8.09,1.43,0.0,0.09880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1766,87247800.0,74512200000.0,0.0,-0.0913,0.0
350,BRSR5,21.75,8.34,1.08,0.0,0.0337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1298,4279.56,8217060000.0,0.0,0.0727,0.0
351,BRGE12,6.09,8.36,0.37,120.76,0.0,0.058,0.95,-1.03,-0.68,2.99,3.0,-11.7258,2.2765,1.1,-0.0721,0.0438,37139.0,1224080000.0,0.0,0.0452,-11.7258
352,SANB4,14.94,8.51,1.5,0.0,0.0983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1766,2637810.0,74512200000.0,0.0,-0.0913,0.0
353,BRIV4,7.02,8.84,0.41,0.0,0.09720000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0466,55233.2,1510290000.0,0.0,0.2311,0.0
354,CRIV4,6.34,9.32,0.67,0.0,0.0767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0722,15773.1,969432000.0,0.0,-0.0302,0.0
