,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
353,BRIV4,702,884.0,41.0,0.0,"9,72%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","4,66%",55.23320,1.510.290.00000,0,"23,11%"
354,CRIV4,634,932.0,67.0,0.0,"7,67%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","7,22%",15.77310,969.432.00000,0,"-3,02%"
355,BBDC3,1916,965.0,126.0,0.0,"8,19%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","13,03%",96.991.30000,135.134.000.00000,0,"20,12%"
356,BRIV3,796,1002.0,47.0,0.0,"0,00%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","4,66%",29.49750,1.510.290.00000,0,"23,11%"
357,RPAD6,539,1019.0,45.0,2.07471,"0,01%",440,-12919.0,-10682,-11746.0,-10489,-10489,"-1.942,27%","20.369,10%",73,"-0,42%","4,37%",6.71853,1.024.660.00000,0,"2,78%"
358,RPAD3,550,1039.0,45.0,2.11705,"0,01%",449,-13183.0,-10900,-11985.0,-10707,-10707,"-1.942,27%","20.369,10%",73,"-0,42%","4,37%",20.41600,1.024.660.00000,0,"2,78%"
359,BRGE8,760,1043.0,46.0,15071.0,"3,87%",72,118.0,-129,-85.0,273,274,"-1.172,58%","227,65%",110,"-7,21%","4,38%",20.47770,1.224.080.00000,0,"4,52%"
360,BBDC4,2073,1044.0,136.0,0.0,"8,33%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","13,03%",984.522.00000,135.134.000.00000,0,"20,12%"
361,BGIP3,4799,1082.0,149.0,0.0,"1,48%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","13,79%",22.68870,491.540.00000,0,"12,76%"
362,ITUB3,2277,1121.0,177.0,0.0,"5,61%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","15,76%",13.187.90000,126.416.000.00000,0,"-22,41%"
363,ITSA4,961,1155.0,153.0,16159.0,"5,72%",1228,2060.0,45666,-2587.0,46321,9489,"3,54%","144,26%",236,"0,29%","13,24%",299.149.00000,52.896.000.00000,9,"1,42%"
364,ITUB4,2379,1171.0,185.0,0.0,"5,37%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","15,76%",929.916.00000,126.416.000.00000,0,"-22,41%"
365,BRGE3,900,1235.0,54.0,17847.0,"0,00%",85,140.0,-152,-101.0,250,251,"-1.172,58%","227,65%",110,"-7,21%","4,38%",33.98410,1.224.080.00000,0,"4,52%"
366,ITSA3,1073,1289.0,171.0,18042.0,"5,12%",1371,2300.0,50988,-2889.0,51643,10580,"3,54%","144,26%",236,"0,29%","13,24%",2.920.84000,52.896.000.00000,9,"1,42%"
367,BRGE11,1050,1441.0,63.0,20821.0,"3,36%",99,163.0,-178,-118.0,224,225,"-1.172,58%","227,65%",110,"-7,21%","4,38%",5.83649,1.224.080.00000,0,"4,52%"
368,BSLI3,18900,1498.0,369.0,0.0,"2,76%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","24,62%",2.74067,1.860.250.00000,0,"22,11%"
369,RPAD5,860,1625.0,71.0,3.3103,"6,12%",702,-20613.0,-17043,-18741.0,-16850,-16850,"-1.942,27%","20.369,10%",73,"-0,42%","4,37%",8.30670,1.024.660.00000,0,"2,78%"
370,BPAN4,845,1652.0,199.0,0.0,"1,98%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","12,06%",34.260.40000,5.112.740.00000,0,"14,97%"
